name,location,specialties,address
AIIMS Clinic,"Thiruvananthapuram, Kerala",Liver:Heart Problems,"Mann Circle, Thiruvananthapuram, Kerala 736471"
Life Institute,"Jaipur, Rajasthan",Kidney:Diabetes:Heart Problems:Liver:Thyroid,"Dugar Nagar, Jaipur, Rajasthan 677359"
Shree Hospital,"Vadodara, Gujarat",Stroke:Diabetes:Gastroenterology,"Munshi Street, Vadodara, Gujarat 562588"
AIIMS Institute,"Patna, Bihar",Cancer:Stroke,"Nagar Zila, Patna, Bihar 714732"
Life Speciality Hospital,"Patna, Bihar",Orthopedics:Kidney,"Bedi Zila, Patna, Bihar 696325"
Life Health Care,"Mumbai, Maharashtra",Gastroenterology:Heart Problems,"Munshi, Mumbai, Maharashtra 278774"
Global Clinic,"Bangalore, Karnataka",Kidney:Heart Problems:Liver,"Bajaj Chowk, Bangalore, Karnataka 687339"
Global Health Care,"Nagpur, Maharashtra",Stroke:Kidney:Liver,"Bava Path, Nagpur, Maharashtra 479748"
AIIMS Institute,"Thiruvananthapuram, Kerala",Orthopedics:Neurology:Thyroid:Gastroenterology,"Chokshi Nagar, Thiruvananthapuram, Kerala 245650"
Care Hospital,"Jaipur, Rajasthan",Liver:Stroke,"Behl Marg, Jaipur, Rajasthan 584168"
Care Clinic,"Patna, Bihar",Stroke:Cancer,"Mammen Chowk, Patna, Bihar 216558"
Shree Speciality Hospital,"Bangalore, Karnataka",Neurology,"Dhawan Path, Bangalore, Karnataka 986800"
Shree Medical Center,"Bhopal, Madhya Pradesh",Liver,"Devan Nagar, Bhopal, Madhya Pradesh 787298"
Max Medical Center,"Mumbai, Maharashtra",Orthopedics:Liver:Stroke,"Narang Street, Mumbai, Maharashtra 269495"
Care Speciality Hospital,"Mumbai, Maharashtra",Orthopedics:Diabetes:Heart Problems:Cancer,"Upadhyay Circle, Mumbai, Maharashtra 947055"
Apollo Medical Center,"Bangalore, Karnataka",Diabetes,"Saha Zila, Bangalore, Karnataka 097499"
Care Clinic,"Visakhapatnam, Andhra Pradesh",Thyroid:Stroke:Gastroenterology:Diabetes:Cancer,"Behl Ganj, Visakhapatnam, Andhra Pradesh 289623"
Apollo Institute,"Chennai, Tamil Nadu",Kidney:Gastroenterology:Neurology:Diabetes,"Choudhary Nagar, Chennai, Tamil Nadu 075626"
Fortis Hospital,"Mumbai, Maharashtra",Stroke:Kidney,"Roy Ganj, Mumbai, Maharashtra 028385"
Max Institute,"Surat, Gujarat",Neurology,"Vora Chowk, Surat, Gujarat 527858"
AIIMS Hospital,"Coimbatore, Tamil Nadu",Cancer:Diabetes:Orthopedics,"Lalla Path, Coimbatore, Tamil Nadu 334843"
Shree Institute,"Jaipur, Rajasthan",Heart Problems,"Mani Road, Jaipur, Rajasthan 757584"
Care Speciality Hospital,"Hyderabad, Telangana",Neurology:Gastroenterology,"Dara Road, Hyderabad, Telangana 652404"
Fortis Speciality Hospital,"Thiruvananthapuram, Kerala",Liver:Stroke:Kidney:Cancer,"Pal Zila, Thiruvananthapuram, Kerala 473384"
Shree Speciality Hospital,"Surat, Gujarat",Cancer,"Magar Circle, Surat, Gujarat 199330"
AIIMS Hospital,"Mumbai, Maharashtra",Gastroenterology,"Kara Circle, Mumbai, Maharashtra 016571"
Care Clinic,"Chennai, Tamil Nadu",Stroke:Heart Problems:Orthopedics:Kidney,"Ahluwalia Street, Chennai, Tamil Nadu 677345"
Medanta Speciality Hospital,"Visakhapatnam, Andhra Pradesh",Diabetes:Thyroid:Neurology:Stroke,"Bhargava Road, Visakhapatnam, Andhra Pradesh 938026"
Global Institute,"Bangalore, Karnataka",Thyroid:Heart Problems:Kidney:Stroke,"Bansal Street, Bangalore, Karnataka 724004"
Care Speciality Hospital,"Pune, Maharashtra",Neurology,"Chhabra, Pune, Maharashtra 478872"
Life Medical Center,"Bhopal, Madhya Pradesh",Stroke:Liver:Diabetes:Kidney:Gastroenterology,"Sidhu Circle, Bhopal, Madhya Pradesh 315274"
Apollo Medical Center,"Indore, Madhya Pradesh",Orthopedics:Diabetes,"Atwal Street, Indore, Madhya Pradesh 493296"
Apollo Hospital,"Jaipur, Rajasthan",Diabetes:Thyroid:Heart Problems:Gastroenterology:Orthopedics,"Varma Marg, Jaipur, Rajasthan 161227"
Shree Speciality Hospital,"Kolkata, West Bengal",Heart Problems:Cancer,"Kothari Path, Kolkata, West Bengal 463745"
Medanta Institute,"Vadodara, Gujarat",Stroke:Neurology:Cancer:Heart Problems,"Apte Road, Vadodara, Gujarat 530174"
Max Medical Center,"Pune, Maharashtra",Liver:Kidney:Diabetes:Thyroid,"Ravi Street, Pune, Maharashtra 145933"
Apollo Hospital,"Pune, Maharashtra",Cancer:Liver:Orthopedics:Gastroenterology:Neurology,"Sridhar Street, Pune, Maharashtra 795687"
AIIMS Institute,"Lucknow, Uttar Pradesh",Heart Problems:Thyroid,"Kamdar Circle, Lucknow, Uttar Pradesh 918785"
Fortis Clinic,"Mumbai, Maharashtra",Neurology:Liver:Kidney:Cancer,"Choudhury Zila, Mumbai, Maharashtra 883982"
Narayana Medical Center,"Bhopal, Madhya Pradesh",Kidney:Neurology:Cancer:Thyroid,"Narang Street, Bhopal, Madhya Pradesh 139718"
Care Hospital,"Bhopal, Madhya Pradesh",Liver:Neurology,"Bhakta Chowk, Bhopal, Madhya Pradesh 286790"
Care Institute,"Coimbatore, Tamil Nadu",Thyroid:Kidney:Heart Problems,"Shere Circle, Coimbatore, Tamil Nadu 064039"
Care Health Care,"New Delhi, Delhi",Cancer:Thyroid:Liver:Neurology:Kidney,"Bath Zila, New Delhi, Delhi 518017"
Shree Institute,"New Delhi, Delhi",Liver:Diabetes:Heart Problems:Gastroenterology,"Mangat Nagar, New Delhi, Delhi 226567"
AIIMS Hospital,"Chennai, Tamil Nadu",Liver:Heart Problems,"Prashad Marg, Chennai, Tamil Nadu 825128"
Life Health Care,"Kochi, Kerala",Thyroid:Kidney:Cancer:Diabetes,"Wadhwa Marg, Kochi, Kerala 300478"
Narayana Speciality Hospital,"Lucknow, Uttar Pradesh",Kidney:Stroke,"Wali Marg, Lucknow, Uttar Pradesh 337524"
Medanta Clinic,"Visakhapatnam, Andhra Pradesh",Kidney:Diabetes:Orthopedics:Neurology,"Chowdhury Ganj, Visakhapatnam, Andhra Pradesh 690331"
Fortis Clinic,"Ahmedabad, Gujarat",Stroke:Kidney,"Bandi Zila, Ahmedabad, Gujarat 903067"
Global Speciality Hospital,"Thiruvananthapuram, Kerala",Liver:Thyroid:Neurology:Stroke:Cancer,"Zacharia Ganj, Thiruvananthapuram, Kerala 028439"
Apollo Speciality Hospital,"Bangalore, Karnataka",Gastroenterology,"Nagi Path, Bangalore, Karnataka 428364"
Fortis Hospital,"Mumbai, Maharashtra",Gastroenterology:Heart Problems:Diabetes,"Bhat Road, Mumbai, Maharashtra 687056"
Max Institute,"Coimbatore, Tamil Nadu",Heart Problems:Gastroenterology:Thyroid:Neurology:Stroke,"Nagar Circle, Coimbatore, Tamil Nadu 624628"
Narayana Clinic,"Kolkata, West Bengal",Cancer:Stroke:Diabetes:Neurology,"Khosla Chowk, Kolkata, West Bengal 427086"
Apollo Institute,"Kolkata, West Bengal",Neurology:Heart Problems:Orthopedics:Diabetes:Liver,"Wagle Marg, Kolkata, West Bengal 634351"
Max Medical Center,"Vadodara, Gujarat",Neurology:Kidney,"Prabhakar Chowk, Vadodara, Gujarat 830469"
Fortis Health Care,"Chennai, Tamil Nadu",Liver:Orthopedics:Thyroid:Diabetes:Stroke,"Baral, Chennai, Tamil Nadu 398373"
Life Health Care,"Patna, Bihar",Cancer:Kidney,"Mitter Path, Patna, Bihar 331739"
Apollo Institute,"Surat, Gujarat",Gastroenterology:Diabetes,"Ranganathan Ganj, Surat, Gujarat 854678"
Care Medical Center,"Indore, Madhya Pradesh",Orthopedics,"Morar Path, Indore, Madhya Pradesh 587717"
Medanta Clinic,"Kolkata, West Bengal",Heart Problems:Thyroid:Neurology,"Jani Path, Kolkata, West Bengal 560932"
Fortis Health Care,"Vadodara, Gujarat",Stroke:Heart Problems:Neurology,"Lal Nagar, Vadodara, Gujarat 423536"
Life Clinic,"Ahmedabad, Gujarat",Gastroenterology:Thyroid:Heart Problems:Orthopedics:Liver,"Korpal, Ahmedabad, Gujarat 854777"
Apollo Health Care,"Indore, Madhya Pradesh",Liver:Heart Problems:Stroke:Neurology:Diabetes,"Pandey Street, Indore, Madhya Pradesh 287280"
Max Health Care,"Jaipur, Rajasthan",Thyroid:Heart Problems:Neurology,"Bandi Circle, Jaipur, Rajasthan 006231"
AIIMS Speciality Hospital,"Thiruvananthapuram, Kerala",Stroke:Heart Problems:Neurology:Liver:Orthopedics,"Andra Street, Thiruvananthapuram, Kerala 875099"
Narayana Health Care,"Pune, Maharashtra",Cancer:Thyroid:Neurology,"Sura Chowk, Pune, Maharashtra 088600"
Medanta Institute,"Mumbai, Maharashtra",Stroke:Diabetes:Neurology:Orthopedics,"Maharaj Circle, Mumbai, Maharashtra 086211"
Apollo Speciality Hospital,"Vadodara, Gujarat",Thyroid,"Dixit Circle, Vadodara, Gujarat 398454"
Medanta Institute,"Kochi, Kerala",Kidney,"Brar Marg, Kochi, Kerala 679334"
Max Health Care,"Patna, Bihar",Heart Problems:Orthopedics:Diabetes:Stroke:Liver,"Balay Zila, Patna, Bihar 666870"
AIIMS Clinic,"Surat, Gujarat",Thyroid,"Garg Nagar, Surat, Gujarat 765918"
Life Speciality Hospital,"Coimbatore, Tamil Nadu",Neurology,"Karpe Nagar, Coimbatore, Tamil Nadu 974014"
AIIMS Speciality Hospital,"Mumbai, Maharashtra",Diabetes:Thyroid:Liver:Neurology:Stroke,"Bali Circle, Mumbai, Maharashtra 503926"
AIIMS Clinic,"Bangalore, Karnataka",Stroke:Liver:Kidney,"Mistry Zila, Bangalore, Karnataka 939685"
Global Institute,"Bhopal, Madhya Pradesh",Thyroid:Stroke:Gastroenterology:Neurology:Cancer,"Dey Marg, Bhopal, Madhya Pradesh 850163"
Shree Hospital,"Nagpur, Maharashtra",Liver:Cancer:Thyroid:Neurology,"Oak Zila, Nagpur, Maharashtra 504773"
Apollo Speciality Hospital,"Hyderabad, Telangana",Diabetes:Thyroid,"Prashad Path, Hyderabad, Telangana 296194"
Shree Clinic,"Chennai, Tamil Nadu",Heart Problems:Gastroenterology:Stroke:Neurology:Cancer,"Borah Ganj, Chennai, Tamil Nadu 426265"
Global Clinic,"Surat, Gujarat",Heart Problems:Neurology,"Chhabra Path, Surat, Gujarat 047541"
Care Clinic,"Jaipur, Rajasthan",Heart Problems:Neurology:Cancer:Kidney,"Chahal Street, Jaipur, Rajasthan 678886"
AIIMS Medical Center,"Lucknow, Uttar Pradesh",Cancer:Orthopedics:Liver:Gastroenterology:Heart Problems,"Bal Zila, Lucknow, Uttar Pradesh 581995"
Medanta Health Care,"Ahmedabad, Gujarat",Orthopedics:Liver:Stroke:Diabetes,"Arora Marg, Ahmedabad, Gujarat 661839"
Medanta Hospital,"Patna, Bihar",Kidney:Stroke:Neurology:Diabetes:Thyroid,"Gara Circle, Patna, Bihar 224447"
Medanta Medical Center,"Pune, Maharashtra",Liver,"Bhatnagar Street, Pune, Maharashtra 646471"
Global Speciality Hospital,"Coimbatore, Tamil Nadu",Diabetes:Gastroenterology,"Krishnamurthy Path, Coimbatore, Tamil Nadu 799371"
Global Hospital,"Ahmedabad, Gujarat",Gastroenterology,"Modi Street, Ahmedabad, Gujarat 659657"
Narayana Speciality Hospital,"Vadodara, Gujarat",Stroke:Orthopedics,"Sani Path, Vadodara, Gujarat 459375"
Global Clinic,"Kolkata, West Bengal",Kidney:Stroke,"Rao Street, Kolkata, West Bengal 479356"
Care Health Care,"Chennai, Tamil Nadu",Heart Problems:Gastroenterology:Diabetes:Thyroid,"Ramaswamy Road, Chennai, Tamil Nadu 193982"
Shree Speciality Hospital,"Kochi, Kerala",Stroke:Gastroenterology,"Bala Circle, Kochi, Kerala 374167"
Medanta Clinic,"Bhopal, Madhya Pradesh",Heart Problems:Liver:Neurology,"Mitter Street, Bhopal, Madhya Pradesh 426617"
Narayana Clinic,"Nagpur, Maharashtra",Gastroenterology,"Srinivas, Nagpur, Maharashtra 886805"
Apollo Speciality Hospital,"Bangalore, Karnataka",Diabetes:Thyroid:Orthopedics,"Chada Circle, Bangalore, Karnataka 352909"
Life Clinic,"Indore, Madhya Pradesh",Thyroid:Neurology:Heart Problems:Liver:Kidney,"Narula Marg, Indore, Madhya Pradesh 101438"
Life Health Care,"Ahmedabad, Gujarat",Cancer:Thyroid:Heart Problems,"Kant Circle, Ahmedabad, Gujarat 567982"
Narayana Medical Center,"Nagpur, Maharashtra",Gastroenterology:Liver:Stroke:Kidney,"Bakshi Path, Nagpur, Maharashtra 146112"
Life Clinic,"New Delhi, Delhi",Cancer:Thyroid:Stroke,"Muni Path, New Delhi, Delhi 738757"
Life Health Care,"Indore, Madhya Pradesh",Orthopedics,"Sarma Zila, Indore, Madhya Pradesh 514010"
Max Institute,"Bhopal, Madhya Pradesh",Orthopedics:Cancer:Heart Problems,"Chopra Path, Bhopal, Madhya Pradesh 382825"
Fortis Medical Center,"Vadodara, Gujarat",Thyroid:Kidney:Gastroenterology:Orthopedics:Neurology,"Sandhu Circle, Vadodara, Gujarat 362266"
AIIMS Hospital,"Chennai, Tamil Nadu",Cancer,"Hora Nagar, Chennai, Tamil Nadu 966033"
Max Institute,"Bangalore, Karnataka",Stroke:Gastroenterology:Diabetes,"Bhatnagar Road, Bangalore, Karnataka 825537"
AIIMS Hospital,"Patna, Bihar",Orthopedics:Neurology,"Lala Zila, Patna, Bihar 859696"
Global Institute,"Hyderabad, Telangana",Heart Problems,"Comar, Hyderabad, Telangana 579249"
Apollo Health Care,"Mumbai, Maharashtra",Cancer:Diabetes:Neurology:Kidney:Thyroid,"Chad, Mumbai, Maharashtra 513412"
Shree Clinic,"Mumbai, Maharashtra",Stroke:Neurology:Kidney:Cancer:Diabetes,"Dhaliwal Path, Mumbai, Maharashtra 692966"
Global Speciality Hospital,"Bangalore, Karnataka",Gastroenterology:Diabetes,"Sur Street, Bangalore, Karnataka 827422"
Medanta Health Care,"Vadodara, Gujarat",Diabetes:Kidney:Stroke:Neurology,"Seshadri Path, Vadodara, Gujarat 507236"
AIIMS Institute,"Bangalore, Karnataka",Neurology:Stroke:Kidney:Thyroid:Liver,"Tiwari Circle, Bangalore, Karnataka 676772"
AIIMS Institute,"Vadodara, Gujarat",Gastroenterology:Liver:Thyroid:Heart Problems:Kidney,"Balasubramanian Zila, Vadodara, Gujarat 404384"
Global Speciality Hospital,"Bangalore, Karnataka",Gastroenterology:Heart Problems:Stroke,"Shankar Street, Bangalore, Karnataka 881914"
Care Speciality Hospital,"Nagpur, Maharashtra",Gastroenterology:Orthopedics:Diabetes:Liver:Cancer,"Peri Circle, Nagpur, Maharashtra 783613"
Care Clinic,"Bhopal, Madhya Pradesh",Orthopedics:Heart Problems:Cancer,"Bali Road, Bhopal, Madhya Pradesh 451713"
Max Medical Center,"Indore, Madhya Pradesh",Neurology:Cancer,"Panchal Ganj, Indore, Madhya Pradesh 292330"
Apollo Clinic,"Mumbai, Maharashtra",Thyroid:Liver:Heart Problems:Neurology:Kidney,"Panchal, Mumbai, Maharashtra 982544"
Global Clinic,"Lucknow, Uttar Pradesh",Neurology,"Loke, Lucknow, Uttar Pradesh 260422"
Shree Institute,"Jaipur, Rajasthan",Thyroid:Gastroenterology:Kidney:Heart Problems,"Dhingra Ganj, Jaipur, Rajasthan 367294"
Medanta Institute,"Patna, Bihar",Diabetes,"Prashad Marg, Patna, Bihar 116845"
Shree Clinic,"Surat, Gujarat",Stroke,"Sura Chowk, Surat, Gujarat 901751"
Apollo Clinic,"Hyderabad, Telangana",Gastroenterology:Stroke:Diabetes:Kidney:Cancer,"Rao Circle, Hyderabad, Telangana 637454"
Care Clinic,"Lucknow, Uttar Pradesh",Diabetes:Liver,"De Path, Lucknow, Uttar Pradesh 500170"
Global Speciality Hospital,"Indore, Madhya Pradesh",Kidney:Orthopedics:Stroke,"Dugar Zila, Indore, Madhya Pradesh 706324"
Fortis Hospital,"Kolkata, West Bengal",Heart Problems:Stroke:Kidney,"Mahal Street, Kolkata, West Bengal 541520"
Global Institute,"Bangalore, Karnataka",Cancer:Kidney:Stroke:Heart Problems:Thyroid,"Mody Marg, Bangalore, Karnataka 611037"
Global Health Care,"Hyderabad, Telangana",Kidney:Heart Problems:Gastroenterology,"Deo Zila, Hyderabad, Telangana 870051"
AIIMS Hospital,"Mumbai, Maharashtra",Kidney,"Deo Marg, Mumbai, Maharashtra 136111"
Medanta Hospital,"New Delhi, Delhi",Liver:Heart Problems:Diabetes:Gastroenterology:Cancer,"Pillai Path, New Delhi, Delhi 262218"
Shree Medical Center,"Lucknow, Uttar Pradesh",Thyroid:Orthopedics:Gastroenterology,"Anand, Lucknow, Uttar Pradesh 753269"
Apollo Speciality Hospital,"Chennai, Tamil Nadu",Kidney:Orthopedics:Heart Problems:Neurology:Liver,"Kalla Chowk, Chennai, Tamil Nadu 121965"
Life Medical Center,"Bhopal, Madhya Pradesh",Heart Problems:Gastroenterology:Liver,"Murty Marg, Bhopal, Madhya Pradesh 341389"
Global Hospital,"Lucknow, Uttar Pradesh",Heart Problems:Kidney:Stroke:Cancer,"Mane, Lucknow, Uttar Pradesh 438983"
AIIMS Health Care,"Visakhapatnam, Andhra Pradesh",Liver:Stroke:Thyroid:Heart Problems:Diabetes,"Merchant Marg, Visakhapatnam, Andhra Pradesh 376137"
Max Hospital,"Chennai, Tamil Nadu",Gastroenterology:Diabetes:Neurology:Orthopedics:Cancer,"Bobal, Chennai, Tamil Nadu 552696"
Medanta Medical Center,"Lucknow, Uttar Pradesh",Orthopedics:Heart Problems:Thyroid,"Gera Path, Lucknow, Uttar Pradesh 109104"
Medanta Hospital,"Bangalore, Karnataka",Kidney:Liver,"Baral Ganj, Bangalore, Karnataka 684866"
Global Health Care,"Pune, Maharashtra",Neurology:Kidney:Cancer:Orthopedics:Diabetes,"Butala Marg, Pune, Maharashtra 414183"
Narayana Health Care,"Mumbai, Maharashtra",Heart Problems,"Yadav Street, Mumbai, Maharashtra 691463"
AIIMS Health Care,"Kochi, Kerala",Orthopedics:Liver:Stroke:Thyroid,"Konda Nagar, Kochi, Kerala 617990"
Max Health Care,"Bangalore, Karnataka",Diabetes:Kidney:Stroke:Cancer,"Gill Road, Bangalore, Karnataka 020275"
Max Speciality Hospital,"Lucknow, Uttar Pradesh",Cancer:Kidney,"Varughese Circle, Lucknow, Uttar Pradesh 252410"
Care Clinic,"Indore, Madhya Pradesh",Thyroid,"Sanghvi Path, Indore, Madhya Pradesh 814917"
Life Institute,"Kochi, Kerala",Thyroid:Gastroenterology:Orthopedics:Liver:Diabetes,"Vaidya Chowk, Kochi, Kerala 079252"
Max Clinic,"Kochi, Kerala",Gastroenterology:Heart Problems:Orthopedics:Stroke,"Chauhan Road, Kochi, Kerala 380003"
Apollo Hospital,"Thiruvananthapuram, Kerala",Orthopedics:Gastroenterology:Kidney:Cancer:Liver,"Sodhi Nagar, Thiruvananthapuram, Kerala 622086"
Medanta Institute,"Coimbatore, Tamil Nadu",Gastroenterology,"Nagy Ganj, Coimbatore, Tamil Nadu 654195"
Apollo Speciality Hospital,"Indore, Madhya Pradesh",Cancer:Gastroenterology:Neurology:Diabetes,"Thakkar Zila, Indore, Madhya Pradesh 238061"
Life Speciality Hospital,"Kochi, Kerala",Kidney,"Mandal Chowk, Kochi, Kerala 518705"
Shree Speciality Hospital,"Surat, Gujarat",Liver:Kidney:Diabetes:Heart Problems:Neurology,"Manne Ganj, Surat, Gujarat 937597"
Fortis Institute,"New Delhi, Delhi",Stroke:Thyroid:Gastroenterology,"Korpal Ganj, New Delhi, Delhi 060385"
Fortis Medical Center,"Visakhapatnam, Andhra Pradesh",Liver:Orthopedics:Gastroenterology:Kidney,"Nayak Nagar, Visakhapatnam, Andhra Pradesh 641383"
Global Institute,"Kochi, Kerala",Stroke:Kidney:Gastroenterology:Thyroid,"Swamy Marg, Kochi, Kerala 241038"
Global Institute,"Patna, Bihar",Gastroenterology,"Pradhan Marg, Patna, Bihar 191826"
Medanta Medical Center,"Thiruvananthapuram, Kerala",Orthopedics,"Bhatia Zila, Thiruvananthapuram, Kerala 234456"
Shree Health Care,"Vadodara, Gujarat",Diabetes:Heart Problems:Gastroenterology:Stroke:Kidney,"Nadkarni Path, Vadodara, Gujarat 431329"
Global Speciality Hospital,"Kolkata, West Bengal",Liver,"Dugal Zila, Kolkata, West Bengal 277561"
Life Clinic,"Bhopal, Madhya Pradesh",Kidney:Stroke,"Parmar Circle, Bhopal, Madhya Pradesh 747411"
Apollo Hospital,"Kochi, Kerala",Thyroid:Diabetes:Stroke:Cancer:Gastroenterology,"Modi Street, Kochi, Kerala 352135"
AIIMS Speciality Hospital,"Thiruvananthapuram, Kerala",Heart Problems:Gastroenterology:Orthopedics:Thyroid,"Varghese Marg, Thiruvananthapuram, Kerala 442067"
Life Clinic,"Hyderabad, Telangana",Thyroid:Heart Problems:Cancer,"Krish Circle, Hyderabad, Telangana 712100"
Apollo Health Care,"Bangalore, Karnataka",Liver:Orthopedics:Kidney,"De Ganj, Bangalore, Karnataka 651994"
Life Hospital,"New Delhi, Delhi",Diabetes:Neurology:Orthopedics:Heart Problems:Liver,"Bains Zila, New Delhi, Delhi 372151"
Medanta Clinic,"New Delhi, Delhi",Heart Problems,"Shenoy Nagar, New Delhi, Delhi 296670"
AIIMS Medical Center,"Jaipur, Rajasthan",Cancer:Orthopedics:Diabetes:Liver,"Sandhu Marg, Jaipur, Rajasthan 532447"
Shree Clinic,"Kolkata, West Bengal",Orthopedics,"Banerjee Street, Kolkata, West Bengal 476870"
Narayana Hospital,"New Delhi, Delhi",Diabetes:Cancer:Orthopedics,"Mammen Zila, New Delhi, Delhi 263838"
Fortis Institute,"Chennai, Tamil Nadu",Diabetes:Stroke,"Raja Nagar, Chennai, Tamil Nadu 787598"
Apollo Clinic,"Patna, Bihar",Stroke:Neurology:Gastroenterology:Orthopedics:Heart Problems,"Rama Path, Patna, Bihar 205930"
Apollo Clinic,"New Delhi, Delhi",Diabetes:Kidney:Gastroenterology:Neurology,"Bhardwaj Road, New Delhi, Delhi 859321"
AIIMS Health Care,"Nagpur, Maharashtra",Stroke:Cancer:Liver:Thyroid:Diabetes,"Khosla Ganj, Nagpur, Maharashtra 803965"
AIIMS Speciality Hospital,"Bhopal, Madhya Pradesh",Cancer:Neurology:Gastroenterology:Diabetes:Thyroid,"Goda Street, Bhopal, Madhya Pradesh 955905"
Care Speciality Hospital,"New Delhi, Delhi",Orthopedics:Liver:Kidney:Gastroenterology,"Dhar, New Delhi, Delhi 784270"
Narayana Clinic,"New Delhi, Delhi",Kidney:Orthopedics:Liver:Neurology,"Bhalla Zila, New Delhi, Delhi 930870"
Apollo Hospital,"Patna, Bihar",Orthopedics:Gastroenterology:Neurology:Diabetes,"Jaggi Path, Patna, Bihar 525002"
Global Clinic,"Mumbai, Maharashtra",Orthopedics:Liver:Neurology:Heart Problems,"Dhar, Mumbai, Maharashtra 851569"
Care Health Care,"Surat, Gujarat",Kidney:Orthopedics:Diabetes,"Nayar Zila, Surat, Gujarat 522675"
Apollo Hospital,"Lucknow, Uttar Pradesh",Heart Problems:Orthopedics:Diabetes,"Parikh Street, Lucknow, Uttar Pradesh 926442"
Max Hospital,"Hyderabad, Telangana",Kidney,"Agarwal Street, Hyderabad, Telangana 902959"
Apollo Health Care,"Jaipur, Rajasthan",Liver:Kidney:Orthopedics:Diabetes,"Chawla Ganj, Jaipur, Rajasthan 251355"
Fortis Medical Center,"Bhopal, Madhya Pradesh",Diabetes:Thyroid:Liver:Gastroenterology,"Chakrabarti Street, Bhopal, Madhya Pradesh 704331"
Care Hospital,"Patna, Bihar",Orthopedics:Liver:Diabetes:Heart Problems:Gastroenterology,"Kunda Path, Patna, Bihar 006762"
AIIMS Speciality Hospital,"Indore, Madhya Pradesh",Stroke:Liver:Cancer:Diabetes:Neurology,"Tailor Marg, Indore, Madhya Pradesh 586179"
Global Speciality Hospital,"Thiruvananthapuram, Kerala",Kidney,"Gaba Ganj, Thiruvananthapuram, Kerala 104054"
Narayana Clinic,"Kolkata, West Bengal",Neurology:Orthopedics:Gastroenterology:Liver,"Borah Zila, Kolkata, West Bengal 262181"
AIIMS Medical Center,"Pune, Maharashtra",Kidney:Diabetes:Orthopedics,"Subramanian Path, Pune, Maharashtra 629620"
Max Medical Center,"Bangalore, Karnataka",Liver:Orthopedics:Heart Problems,"Narula Zila, Bangalore, Karnataka 368844"
Fortis Medical Center,"Bangalore, Karnataka",Neurology:Cancer:Liver,"Khanna Road, Bangalore, Karnataka 069872"
Global Health Care,"Kochi, Kerala",Stroke:Liver,"Patel Nagar, Kochi, Kerala 614973"
Medanta Institute,"New Delhi, Delhi",Orthopedics:Diabetes:Kidney:Heart Problems,"Bal Zila, New Delhi, Delhi 241714"
Medanta Clinic,"Lucknow, Uttar Pradesh",Diabetes:Thyroid:Gastroenterology,"Sinha Marg, Lucknow, Uttar Pradesh 418625"
Life Speciality Hospital,"Jaipur, Rajasthan",Heart Problems:Neurology:Orthopedics,"Pingle Marg, Jaipur, Rajasthan 704774"
Shree Speciality Hospital,"Kochi, Kerala",Orthopedics:Heart Problems:Kidney,"Luthra Ganj, Kochi, Kerala 211586"
Max Speciality Hospital,"Coimbatore, Tamil Nadu",Cancer,"Karan, Coimbatore, Tamil Nadu 686879"
Fortis Clinic,"Nagpur, Maharashtra",Liver:Cancer:Neurology:Heart Problems,"Soni Ganj, Nagpur, Maharashtra 160898"
Medanta Institute,"Surat, Gujarat",Heart Problems:Stroke,"Din, Surat, Gujarat 722332"
Care Clinic,"Thiruvananthapuram, Kerala",Diabetes:Thyroid:Neurology:Gastroenterology:Orthopedics,"Sampath Nagar, Thiruvananthapuram, Kerala 632945"
Max Speciality Hospital,"Indore, Madhya Pradesh",Liver:Cancer:Stroke:Heart Problems:Orthopedics,"Chahal Zila, Indore, Madhya Pradesh 868548"
Max Clinic,"New Delhi, Delhi",Cancer,"Arora Chowk, New Delhi, Delhi 162299"
AIIMS Institute,"Kolkata, West Bengal",Diabetes:Stroke:Kidney,"Chaudhry, Kolkata, West Bengal 914856"
Max Speciality Hospital,"Hyderabad, Telangana",Orthopedics:Liver:Thyroid:Cancer,"Rajagopal Road, Hyderabad, Telangana 997024"
Care Clinic,"Indore, Madhya Pradesh",Orthopedics,"Dhawan Marg, Indore, Madhya Pradesh 065307"
Life Speciality Hospital,"Pune, Maharashtra",Heart Problems:Kidney,"Pradhan Road, Pune, Maharashtra 544471"
Medanta Speciality Hospital,"Lucknow, Uttar Pradesh",Orthopedics:Gastroenterology:Thyroid:Kidney,"Desai Ganj, Lucknow, Uttar Pradesh 754691"
AIIMS Medical Center,"Patna, Bihar",Orthopedics:Gastroenterology:Liver:Kidney,"Sathe Ganj, Patna, Bihar 678508"
Narayana Medical Center,"Jaipur, Rajasthan",Diabetes:Orthopedics:Thyroid:Neurology:Kidney,"Bhatti Street, Jaipur, Rajasthan 862890"
Apollo Medical Center,"Mumbai, Maharashtra",Cancer,"Hans Street, Mumbai, Maharashtra 030705"
Apollo Hospital,"Thiruvananthapuram, Kerala",Liver:Heart Problems,"Mahal Ganj, Thiruvananthapuram, Kerala 786103"
Global Institute,"Vadodara, Gujarat",Diabetes:Orthopedics:Thyroid:Neurology,"Suresh Path, Vadodara, Gujarat 279855"
Shree Medical Center,"Indore, Madhya Pradesh",Liver:Gastroenterology:Diabetes,"Kuruvilla Street, Indore, Madhya Pradesh 406029"
